EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,button-press-topdown-v1_success_rate,button-press-topdown-v1_eval_rewards,door-v1_success_rate,door-v1_eval_rewards,drawer-close-v1_success_rate,drawer-close-v1_eval_rewards,drawer-open-v1_success_rate,drawer-open-v1_eval_rewards,ped-insert-side-v1_success_rate,ped-insert-side-v1_eval_rewards,pick-place-v1_success_rate,pick-place-v1_eval_rewards,push-v1_success_rate,push-v1_eval_rewards,reach-v1_success_rate,reach-v1_eval_rewards,window-close-v1_success_rate,window-close-v1_eval_rewards,window-open-v1_success_rate,window-open-v1_eval_rewards,mean_success_rate,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,alpha_1_Mean,alpha_1_Std,alpha_1_Max,alpha_1_Min,alpha_2_Mean,alpha_2_Std,alpha_2_Max,alpha_2_Min,alpha_3_Mean,alpha_3_Std,alpha_3_Max,alpha_3_Min,alpha_4_Mean,alpha_4_Std,alpha_4_Max,alpha_4_Min,alpha_5_Mean,alpha_5_Std,alpha_5_Max,alpha_5_Min,alpha_6_Mean,alpha_6_Std,alpha_6_Max,alpha_6_Min,alpha_7_Mean,alpha_7_Std,alpha_7_Max,alpha_7_Min,alpha_8_Mean,alpha_8_Std,alpha_8_Max,alpha_8_Min,alpha_9_Mean,alpha_9_Std,alpha_9_Max,alpha_9_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_prob_1_Mean,log_prob_1_Std,log_prob_1_Max,log_prob_1_Min,log_prob_2_Mean,log_prob_2_Std,log_prob_2_Max,log_prob_2_Min,log_prob_3_Mean,log_prob_3_Std,log_prob_3_Max,log_prob_3_Min,log_prob_4_Mean,log_prob_4_Std,log_prob_4_Max,log_prob_4_Min,log_prob_5_Mean,log_prob_5_Std,log_prob_5_Max,log_prob_5_Min,log_prob_6_Mean,log_prob_6_Std,log_prob_6_Max,log_prob_6_Min,log_prob_7_Mean,log_prob_7_Std,log_prob_7_Max,log_prob_7_Min,log_prob_8_Mean,log_prob_8_Std,log_prob_8_Max,log_prob_8_Min,log_prob_9_Mean,log_prob_9_Std,log_prob_9_Max,log_prob_9_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
0,13.420328617095947,42000,1170.41965,17676.10561,1467.23634,1.32128,12.02453,0.00411,0.00000,-52.70002,0.00000,-42.80546,0.00000,-17.58680,0.00000,-23.74399,0.00000,-19.87658,0.00000,-20.63411,0.00000,-20.71483,0.00000,11955.69960,0.00000,-26.93378,0.00000,-26.50756,0.00000,8.10136,0.69603,9.59968,6.29099,0.97075,0.01648,0.99970,0.94250,0.97047,0.01679,0.99970,0.94184,0.97047,0.01679,0.99970,0.94184,0.97046,0.01679,0.99970,0.94183,0.97046,0.01679,0.99970,0.94183,0.97047,0.01679,0.99970,0.94185,0.97047,0.01679,0.99970,0.94184,0.97046,0.01679,0.99970,0.94183,0.97045,0.01680,0.99970,0.94180,0.97046,0.01679,0.99970,0.94183,-0.19893,0.11485,-0.00000,-0.39625,-11.94244,3.24713,-2.66918,-19.79245,97376.40862,848502.61522,10887780.00000,203.22807,691.65479,392.67692,1701.51404,124.91499,2.02818,2.34247,14.20518,0.17695,7011235506.13772,76079744213.44157,1056558481408.00000,52.16409,4652.91014,8039.45287,67682.92188,35.70383,-0.16846,0.05733,-0.00418,-0.30646,0.03176,0.05662,0.26716,0.00061,-0.14731,0.05094,-0.00095,-0.28230,-0.27017,0.23182,-0.00689,-1.18023,-2.54918,0.40660,-0.64608,-2.79799,-2.70195,0.04880,-2.49964,-2.78319,-2.70464,0.05027,-2.44202,-2.79143,-2.70304,0.04772,-2.52266,-2.80676,-2.70704,0.04999,-2.51523,-2.80366,-2.70657,0.04410,-2.52139,-2.78893,-2.70289,0.04672,-2.52163,-2.78973,-2.70223,0.05139,-2.50792,-2.80730,-2.70239,0.05091,-2.45856,-2.80335,-2.70676,0.04600,-2.52688,-2.79244,-2.68867,0.05547,-2.47418,-2.74778,0.34423,0.11281,0.79182,0.20472,-1.69267,0.62956,0.97932,-2.37564,-5.34094,0.92754,-3.62679,-9.87706,0.02015,0.04362,0.17588,-0.05539,0.06464,0.04443,0.20136,0.00194,0.12927,0.11682,0.58133,-0.01287,-0.10930,0.13904,0.04785,-0.66555
1,8.831197261810303,44000,1170.96802,18676.08611,1558.20540,0.02860,8.45224,0.00415,0.00000,-47.21633,0.00000,-42.80546,0.00000,-17.58680,0.00000,-23.74399,0.00000,-19.87658,0.00000,-20.63411,0.00000,-20.71483,0.00000,11955.69960,0.00000,-26.93378,0.00000,-26.50756,0.00000,7.98789,0.68199,9.87343,6.58281,0.91713,0.01488,0.94222,0.89141,0.91395,0.01587,0.94156,0.88687,0.91395,0.01587,0.94156,0.88688,0.91394,0.01587,0.94155,0.88686,0.91396,0.01586,0.94155,0.88690,0.91396,0.01587,0.94157,0.88690,0.91395,0.01587,0.94156,0.88688,0.91394,0.01587,0.94155,0.88687,0.91392,0.01586,0.94152,0.88684,0.91395,0.01586,0.94155,0.88688,-0.59514,0.11657,-0.38775,-0.79045,-15.11023,3.09898,-6.78484,-21.14532,1526.58088,6781.03940,64275.25781,55.38332,185.17725,155.40408,1276.31445,29.05292,4.74987,3.56987,24.23867,0.31535,16042478.78662,173850533.58066,2447325440.00000,336.35406,18796.86741,24697.87586,252147.96875,1247.22827,-0.17875,0.03493,-0.12877,-0.25455,0.12349,0.08091,0.33170,0.01137,-0.12905,0.02037,-0.08231,-0.18117,-0.62092,0.30832,-0.16328,-1.37888,-1.86092,1.00467,2.34535,-2.74704,-2.73163,0.02300,-2.67087,-2.80038,-2.73263,0.02115,-2.66654,-2.79821,-2.73121,0.02363,-2.68004,-2.79751,-2.73000,0.02103,-2.65810,-2.79196,-2.73164,0.02264,-2.66297,-2.78963,-2.72941,0.02323,-2.66995,-2.79313,-2.73031,0.01949,-2.66086,-2.77963,-2.72997,0.02329,-2.66640,-2.78877,-2.73110,0.02119,-2.68722,-2.82662,-2.64388,0.10105,-2.22459,-2.74166,0.46217,0.26250,1.61804,0.22259,-0.75962,1.37907,4.26170,-2.17916,-5.47283,0.94692,-3.81735,-8.63839,0.00438,0.02488,0.07711,-0.05996,0.08589,0.05207,0.28607,0.03048,0.32203,0.26628,1.46167,0.01236,-0.27010,0.20822,-0.01535,-0.98606
2,8.257827043533325,46000,83.97701,29315.17386,1330.12778,0.03205,8.22183,0.00391,0.00000,-55.75194,0.00000,-46.55775,0.00000,-26.23623,0.00000,-35.14422,0.00000,-26.55634,0.00000,-34.38294,0.00000,-35.59014,0.00000,1169.12062,0.00000,-32.48044,0.00000,-36.65051,0.00000,8.20997,0.68453,9.94585,6.48623,0.86568,0.01513,0.89115,0.83950,0.86070,0.01485,0.88661,0.83534,0.86070,0.01486,0.88661,0.83533,0.86069,0.01486,0.88659,0.83531,0.86073,0.01486,0.88663,0.83535,0.86072,0.01485,0.88663,0.83536,0.86070,0.01486,0.88661,0.83532,0.86069,0.01486,0.88660,0.83532,0.86066,0.01485,0.88657,0.83530,0.86071,0.01485,0.88661,0.83534,-0.99449,0.12112,-0.77786,-1.20520,-22.51091,3.40974,-14.43988,-29.67166,324.43259,134.80457,976.97089,79.74240,318.08680,133.56700,884.01917,72.44630,3.27357,3.38565,39.02843,0.37835,15043.16508,10789.59324,73776.88281,1575.42834,16269.45302,12493.55283,79316.43750,1312.67603,-0.16462,0.06069,-0.06820,-0.50165,0.05041,0.08628,0.48118,0.00237,-0.12621,0.03597,-0.05549,-0.25031,-0.33526,0.39011,-0.07595,-2.92936,-2.26029,1.33517,6.17809,-2.83402,-2.69869,0.08351,-2.00003,-2.79699,-2.70352,0.06549,-2.26895,-2.81452,-2.70132,0.07723,-2.22632,-2.80144,-2.70196,0.07323,-2.13809,-2.80866,-2.70090,0.07454,-2.16856,-2.80067,-2.70303,0.07690,-2.22827,-2.80899,-2.70120,0.07311,-2.25021,-2.77930,-2.70008,0.08380,-2.08897,-2.78641,-2.70186,0.07070,-2.27572,-2.78353,-2.65729,0.15539,-1.69549,-2.74877,0.42235,0.36635,2.75340,0.22042,-1.26296,1.88177,11.44724,-2.27462,-5.25308,0.82678,-3.69934,-8.81907,-0.00337,0.03107,0.06752,-0.16382,0.08662,0.08777,0.42590,0.01055,0.22625,0.30799,1.65626,0.00819,-0.21278,0.37675,0.00883,-2.45207
3,9.161778926849365,48000,2063.07014,3111.82275,1230.44531,0.02811,8.83130,0.00430,0.00000,-47.79455,0.00000,-39.73069,0.00000,-21.57045,0.00000,-20.28706,0.00000,-20.10329,0.00000,-21.29986,0.00000,-21.96138,0.00000,20871.25559,0.00000,-23.56880,0.00000,-24.23809,0.00000,8.22672,0.72792,10.03885,6.48435,0.81332,0.01483,0.83924,0.78817,0.81061,0.01406,0.83509,0.78664,0.81062,0.01405,0.83508,0.78666,0.81059,0.01405,0.83506,0.78663,0.81064,0.01405,0.83510,0.78667,0.81065,0.01405,0.83511,0.78670,0.81059,0.01405,0.83507,0.78663,0.81060,0.01405,0.83507,0.78663,0.81057,0.01405,0.83505,0.78661,0.81061,0.01406,0.83509,0.78664,-1.40728,0.11569,-1.20632,-1.61225,-31.04794,3.29257,-22.80045,-40.40259,398.43166,198.81924,1519.58154,103.86694,337.27809,133.93917,777.35608,117.38955,1.87680,0.93569,4.83173,0.39149,29248.44982,19211.30272,120015.00000,1286.73572,23143.90181,15370.55524,72467.25781,1421.10559,-0.13292,0.02255,-0.08702,-0.18093,0.01390,0.00651,0.02758,0.00194,-0.11241,0.02330,-0.07327,-0.15981,-0.15767,0.02977,-0.09550,-0.23187,-2.71333,0.03650,-2.59175,-2.78114,-2.72036,0.03023,-2.60636,-2.79084,-2.71714,0.02757,-2.62100,-2.78856,-2.71706,0.02742,-2.64918,-2.78309,-2.71917,0.02885,-2.63285,-2.79623,-2.71660,0.02781,-2.59439,-2.77089,-2.72011,0.02889,-2.63531,-2.79335,-2.71882,0.03211,-2.62165,-2.80156,-2.71887,0.02908,-2.61022,-2.79720,-2.72130,0.02869,-2.63711,-2.80947,-2.71828,0.01473,-2.67176,-2.74402,0.29358,0.04562,0.43834,0.21996,-1.87753,0.17064,-1.43219,-2.24960,-5.03992,0.69038,-3.71736,-8.28850,-0.01319,0.01461,0.01702,-0.04759,0.06284,0.03338,0.14914,0.01283,0.06640,0.04006,0.14890,0.01201,-0.12192,0.09067,-0.01343,-0.36824
4,8.488942861557007,50000,381.69402,28163.98822,970.93961,0.14801,8.33647,0.00440,0.00000,-54.79486,0.00000,-44.46809,0.00000,-12.54719,0.00000,-28.73545,0.00000,-22.02593,0.00000,-30.10506,0.00000,-16.91707,0.00000,4090.37997,0.00000,-29.47250,0.00000,-34.37359,0.00000,8.25563,0.70235,10.40487,6.65588,0.76462,0.01339,0.78792,0.74177,0.76360,0.01306,0.78641,0.74126,0.76360,0.01306,0.78643,0.74127,0.76356,0.01307,0.78640,0.74120,0.76360,0.01307,0.78643,0.74125,0.76362,0.01307,0.78646,0.74127,0.76357,0.01306,0.78639,0.74123,0.76357,0.01306,0.78640,0.74123,0.76356,0.01305,0.78637,0.74123,0.76357,0.01308,0.78641,0.74121,-1.78628,0.12607,-1.50728,-1.99467,-38.62207,4.18948,-29.55164,-52.23503,561.79074,313.64006,1542.65710,163.04808,370.23680,175.62757,1053.09094,126.65594,3.11226,2.49516,21.02594,0.42700,58518.60904,39031.11272,180460.00000,3585.84155,38083.55564,27993.28233,132522.79688,3489.54736,-0.10547,0.03574,-0.03480,-0.19335,0.03542,0.02921,0.15417,0.00429,-0.02558,0.11441,0.72939,-0.15121,-0.16489,0.08232,-0.05400,-0.53955,-2.50996,0.44512,0.04043,-2.81355,-2.63798,0.20924,-1.12758,-2.80395,-2.64029,0.20638,-1.31461,-2.78605,-2.64760,0.18089,-1.68387,-2.78731,-2.64508,0.19722,-1.27622,-2.78238,-2.64592,0.20100,-1.50635,-2.81306,-2.64076,0.19590,-1.37767,-2.78131,-2.64177,0.21344,-1.45630,-2.79570,-2.63879,0.21803,-1.36609,-2.78102,-2.64895,0.19157,-1.52652,-2.78612,-2.62971,0.20196,-1.44960,-2.73701,0.46169,0.23975,1.46283,0.25096,-0.92308,1.24104,6.19011,-2.04274,-5.07887,0.88713,-3.78540,-10.26241,0.00130,0.02225,0.05459,-0.06737,0.13541,0.12787,0.68132,0.01460,0.20759,0.22544,1.34032,0.00946,-0.30925,0.30007,-0.01722,-1.56463
5,8.281376361846924,52000,1621.21678,17059.81073,1683.70269,0.00775,8.26922,0.00427,0.00000,-49.47290,0.00000,-42.73365,0.00000,-21.25728,0.00000,-22.01771,0.00000,-21.82428,0.00000,-22.71394,0.00000,-23.13156,0.00000,16465.17324,0.00000,-26.89117,0.00000,-22.96293,0.00000,8.88955,0.85660,10.87222,7.00826,0.72831,0.00627,0.74156,0.71989,0.71931,0.01249,0.74103,0.69797,0.71934,0.01248,0.74105,0.69801,0.71926,0.01248,0.74097,0.69793,0.71932,0.01248,0.74103,0.69799,0.71933,0.01248,0.74105,0.69801,0.71931,0.01248,0.74101,0.69798,0.71929,0.01248,0.74101,0.69797,0.71929,0.01248,0.74100,0.69796,0.71930,0.01247,0.74099,0.69798,-2.08116,0.11239,-1.82082,-2.29171,-48.46681,4.83736,-34.45479,-64.87301,1059.33588,1078.07946,6703.55957,141.02478,1124.11048,1260.06047,8032.12451,171.04292,11.48921,7.35138,32.15390,1.16570,45324.25902,50784.57344,593338.25000,5115.97607,52066.42242,35353.77563,235591.26562,4988.75684,-0.18469,0.05078,-0.04161,-0.38153,0.20055,0.10470,0.45621,0.01230,-0.00876,0.22851,1.13418,-0.22678,-1.14383,0.54168,-0.14605,-2.44276,1.07119,2.79022,8.33488,-2.75220,-2.71406,0.07904,-2.10571,-2.77544,-2.71022,0.07879,-2.14264,-2.79044,-2.71408,0.06136,-2.27478,-2.78513,-2.71183,0.07848,-2.12548,-2.79810,-2.71153,0.06793,-2.16968,-2.78309,-2.70899,0.07970,-2.11031,-2.78158,-2.71104,0.08145,-2.17594,-2.79568,-2.71079,0.07968,-2.18600,-2.80042,-2.70947,0.08266,-2.21138,-2.79946,-2.33308,0.27982,-1.59858,-2.74423,1.32962,0.76573,3.36087,0.21902,3.81612,3.26979,11.96885,-2.10421,-5.42720,0.96638,-3.91050,-8.67854,0.01160,0.02139,0.11169,-0.01770,0.30881,0.13191,0.57670,0.02573,0.86042,0.41168,1.63597,0.05881,-1.64291,0.79962,-0.03093,-3.33527
6,8.343875646591187,54000,1591.93105,15914.68366,1429.27884,0.07742,8.26210,0.00427,0.00000,-42.57149,0.00000,-40.11724,0.00000,-26.05430,0.00000,-17.71847,0.00000,-21.27993,0.00000,-26.08205,0.00000,-29.89259,0.00000,15728.02075,0.00000,-24.33291,0.00000,419.33878,0.00000,8.80711,0.87974,11.98921,6.75566,0.71849,0.00094,0.72021,0.71725,0.67726,0.01178,0.69776,0.65715,0.67730,0.01178,0.69780,0.65720,0.67722,0.01178,0.69772,0.65713,0.67728,0.01178,0.69778,0.65719,0.67730,0.01178,0.69780,0.65720,0.67727,0.01178,0.69777,0.65717,0.67725,0.01178,0.69776,0.65715,0.67724,0.01178,0.69775,0.65713,0.67726,0.01178,0.69777,0.65717,-2.35502,0.10235,-2.07626,-2.51847,-59.19902,5.43130,-43.74099,-71.58323,512.90908,260.02924,1712.98987,144.54800,893.18849,588.32476,3777.81177,180.32120,9.98872,5.35702,28.31321,1.31648,55031.72073,38992.40573,225461.46875,4624.70801,94829.50562,69311.31840,424226.96875,8314.77734,-0.18876,0.01583,-0.16177,-0.24427,0.19673,0.04423,0.34379,0.12865,-0.10873,0.04262,0.07835,-0.13763,-1.14962,0.25292,-0.78297,-1.89510,4.15180,1.88789,8.15595,0.15175,-2.73294,0.02183,-2.68302,-2.79130,-2.73156,0.02063,-2.67771,-2.78541,-2.73089,0.02148,-2.67407,-2.79006,-2.72979,0.02079,-2.66776,-2.80964,-2.73101,0.02183,-2.68483,-2.81316,-2.73092,0.02239,-2.67329,-2.79740,-2.73181,0.02162,-2.68404,-2.77997,-2.73432,0.02415,-2.67554,-2.80371,-2.73110,0.02110,-2.67312,-2.78845,-2.04325,0.18862,-1.63783,-2.44878,2.17914,0.53454,3.32355,1.07065,7.35057,1.83703,11.07525,3.19750,-5.27245,1.03744,-3.74811,-9.27855,0.04982,0.01801,0.08253,0.01717,0.47963,0.07704,0.62528,0.30479,1.84915,0.37017,2.62168,1.13353,-2.05447,0.34630,-1.42764,-3.05737
7,8.94562554359436,56000,571.97830,56257.05863,1816.35234,0.02742,8.91413,0.00400,0.00000,-49.69328,0.00000,-43.76313,0.00000,-21.29902,0.00000,-20.87704,0.00000,-18.98831,0.00000,-21.78959,0.00000,-21.57075,0.00000,5966.69024,0.00000,-27.90376,0.00000,-21.02233,0.00000,8.69006,0.98512,11.42825,6.60744,0.72403,0.00313,0.72951,0.71831,0.63767,0.01107,0.65695,0.61887,0.63771,0.01107,0.65700,0.61891,0.63765,0.01107,0.65693,0.61885,0.63770,0.01108,0.65700,0.61889,0.63771,0.01108,0.65700,0.61890,0.63768,0.01107,0.65697,0.61887,0.63766,0.01108,0.65695,0.61886,0.63763,0.01108,0.65693,0.61882,0.63769,0.01108,0.65698,0.61888,-2.72783,0.18827,-2.40561,-3.07379,-68.67414,5.35432,-53.62220,-81.44719,431.04170,227.92770,1288.10022,134.25943,590.40051,365.64747,2350.96362,148.14485,8.88919,5.34523,24.51474,0.84809,66208.38240,47799.01399,241922.48438,8467.45215,72645.29047,56228.00664,308088.37500,9184.53809,-0.14782,0.06579,0.01157,-0.21072,0.12544,0.05980,0.24516,0.00816,-0.07204,0.09576,0.30690,-0.13952,-0.65073,0.35124,-0.04453,-1.31484,3.44270,4.07114,11.20098,-2.76032,-2.69235,0.13300,-1.95032,-2.80738,-2.69394,0.13499,-1.93889,-2.78295,-2.69583,0.12382,-1.96376,-2.79502,-2.69959,0.13029,-1.89082,-2.78979,-2.69826,0.12693,-1.71929,-2.78047,-2.69799,0.11926,-2.01011,-2.78540,-2.69532,0.13928,-1.83568,-2.79800,-2.69972,0.13026,-1.82218,-2.81028,-2.69980,0.12465,-1.91365,-2.78668,-2.08301,0.37432,-1.34152,-2.73836,2.09522,1.08507,4.23347,0.26553,7.00609,4.82164,15.13591,-1.97909,-5.11468,0.93827,-3.73958,-10.08895,0.05405,0.04702,0.10366,-0.12778,0.44133,0.20662,0.75966,0.01244,1.59443,0.85311,2.66541,0.01742,-1.57559,0.81537,-0.03528,-2.97160
8,8.568540096282959,58000,1005.16887,8514.71117,2694.96843,0.01187,8.55234,0.00424,0.00000,-48.46918,0.00000,-40.35718,0.00000,-20.29106,0.00000,-20.55246,0.00000,-19.90255,0.00000,-20.67459,0.00000,-20.77200,0.00000,10291.76059,0.00000,-24.45503,0.00000,-24.59785,0.00000,9.01173,0.97548,12.69189,7.15507,0.70789,0.00500,0.71855,0.70189,0.60094,0.01032,0.61870,0.58320,0.60094,0.01032,0.61873,0.58319,0.60081,0.01034,0.61867,0.58308,0.60090,0.01033,0.61871,0.58316,0.60088,0.01034,0.61873,0.58314,0.60083,0.01034,0.61869,0.58308,0.60092,0.01031,0.61869,0.58319,0.60087,0.01032,0.61864,0.58314,0.60086,0.01034,0.61870,0.58311,-3.03263,0.09181,-2.79210,-3.23859,-79.74951,7.92078,-60.44132,-101.49207,623.83670,322.11094,1868.98206,125.29925,843.78517,543.06038,3718.30005,147.16087,27.30487,22.88684,148.70587,1.80997,78111.06310,40798.06686,207312.37500,10471.77051,116270.54800,81607.98074,483770.25000,12973.57617,-0.09610,0.08226,0.04862,-0.21251,0.21849,0.09237,0.41095,0.03181,0.66376,0.67041,2.00000,-0.11154,-0.94799,0.58915,-0.04025,-2.16514,4.46368,4.83704,13.78315,-2.72826,-2.63888,0.15881,-1.88405,-2.78170,-2.64710,0.14826,-1.91966,-2.78232,-2.66019,0.09794,-2.27340,-2.76961,-2.65150,0.13195,-1.87773,-2.78983,-2.65884,0.12469,-2.01043,-2.80619,-2.66275,0.11156,-1.96150,-2.78387,-2.63769,0.16105,-1.88412,-2.78124,-2.64082,0.16459,-1.78998,-2.78388,-2.65895,0.11710,-1.98263,-2.77714,-1.93930,0.42852,-1.07887,-2.68969,2.46931,1.27561,5.03650,0.42929,11.11164,6.74823,21.23466,-1.25980,-5.07099,0.98362,-3.66338,-10.52386,0.04876,0.05146,0.13340,-0.09161,0.46217,0.19752,0.82523,0.06279,2.18655,1.07078,3.87346,0.08576,-1.86971,1.03785,-0.10227,-3.70032
9,8.891545295715332,60000,965.41620,12265.31062,1479.91590,0.16805,8.71934,0.00409,0.00000,-52.65782,0.00000,-72.62329,0.00000,-24.24424,0.00000,-43.85078,0.00000,-40.84731,0.00000,-86.64954,0.00000,-48.36684,0.00000,10089.27953,0.00000,-45.85048,0.00000,-20.02721,0.00000,8.89829,0.97975,12.55181,6.85863,0.73957,0.01256,0.76270,0.71871,0.56587,0.00986,0.58302,0.54905,0.56587,0.00985,0.58302,0.54905,0.56575,0.00985,0.58290,0.54895,0.56584,0.00985,0.58298,0.54903,0.56582,0.00985,0.58296,0.54901,0.56576,0.00985,0.58291,0.54895,0.56587,0.00985,0.58302,0.54906,0.56581,0.00985,0.58296,0.54900,0.56579,0.00985,0.58294,0.54899,-3.29805,0.12129,-3.03799,-3.53329,-94.99153,7.78994,-75.99079,-122.04850,658.34022,374.02357,2282.51025,152.54823,1785.81407,1502.69635,10174.39648,272.00952,14.42156,7.06830,35.76546,3.36159,96997.83939,64774.15226,397673.59375,12573.52344,283167.49423,212731.15409,1433098.50000,22083.00977,-0.19418,0.01002,-0.16996,-0.21792,0.17249,0.02757,0.22964,0.10917,-0.10921,0.02377,-0.03800,-0.14368,-0.95104,0.12537,-0.67419,-1.20620,9.06085,2.15718,13.66698,4.16894,-2.73296,0.02182,-2.67693,-2.78224,-2.73275,0.02112,-2.67972,-2.80538,-2.73624,0.02151,-2.68413,-2.80517,-2.73252,0.02156,-2.67148,-2.79075,-2.73354,0.02067,-2.68470,-2.78660,-2.73574,0.02176,-2.67719,-2.82360,-2.73002,0.02222,-2.66810,-2.79478,-2.73440,0.02007,-2.68603,-2.80128,-2.73465,0.02016,-2.67592,-2.79268,-1.55420,0.21540,-1.09391,-2.03188,3.65428,0.62857,5.00512,2.25912,15.29461,2.50181,20.55350,8.64659,-5.11674,0.88376,-3.82932,-10.87637,0.10811,0.01230,0.13491,0.08157,0.67762,0.07506,0.83350,0.50589,2.78126,0.29599,3.40813,2.10711,-2.63238,0.30992,-1.82978,-3.30791
